batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.242514,24.325779
0,mae,0,0.075,13.210579,20.571812
0,mae,0,0.1,14.527119,18.773973
0,mae,0,0.15,16.769606,14.838631
0,mse,0,0.05,8.106787,34.499893
0,mse,0,0.075,12.526886,25.32654
0,mse,0,0.1,15.071615,21.79051
0,mse,0,0.15,19.371347,14.412334
0,mae,1,0.05,11.139833,24.102278
0,mae,1,0.075,13.105185,20.03981
0,mae,1,0.1,14.522593,17.999496
0,mae,1,0.15,17.037245,14.922076
0,mse,1,0.05,9.224585,33.550117
0,mse,1,0.075,11.943888,23.801746
0,mse,1,0.1,14.204332,19.917694
0,mse,1,0.15,19.286627,13.924028
0,mae,2,0.05,11.441336,24.537889
0,mae,2,0.075,13.592016,20.546122
0,mae,2,0.1,15.121585,18.220772
0,mae,2,0.15,17.522453,15.360422
0,mse,2,0.05,9.299692,34.310966
0,mse,2,0.075,12.930275,24.889528
0,mse,2,0.1,15.255283,20.02718
0,mse,2,0.15,19.855957,14.990629
0,mae,3,0.05,10.843996,23.706327
0,mae,3,0.075,13.739471,20.372868
0,mae,3,0.1,14.949778,18.382879
0,mae,3,0.15,17.420895,15.404196
0,mse,3,0.05,8.462572,32.152206
0,mse,3,0.075,12.898207,24.291512
0,mse,3,0.1,15.252814,20.387337
0,mse,3,0.15,20.184906,14.356875
0,mae,4,0.05,10.740431,22.811811
0,mae,4,0.075,13.926902,21.037992
0,mae,4,0.1,14.961315,19.386391
0,mae,4,0.15,17.733326,15.950843
0,mse,4,0.05,8.156372,30.078119
0,mse,4,0.075,13.162095,25.794029
0,mse,4,0.1,15.175941,22.249447
0,mse,4,0.15,20.752909,15.427052
0,mae,5,0.05,9.616793,23.451481
0,mae,5,0.075,13.530792,21.342472
0,mae,5,0.1,15.074538,19.728241
0,mae,5,0.15,17.870304,16.276787
0,mse,5,0.05,6.544074,31.467201
0,mse,5,0.075,11.869777,26.567417
0,mse,5,0.1,15.615374,23.125595
0,mse,5,0.15,21.017647,16.152765
0,mae,6,0.05,9.441445,23.953007
0,mae,6,0.075,12.901257,21.070782
0,mae,6,0.1,14.591171,19.775589
0,mae,6,0.15,17.198746,15.78924
0,mse,6,0.05,6.561176,33.071449
0,mse,6,0.075,11.832253,25.901588
0,mse,6,0.1,15.132935,23.231228
0,mse,6,0.15,20.62788,14.900476
0,mae,7,0.05,10.30793,23.320999
0,mae,7,0.075,13.812389,20.09827
0,mae,7,0.1,14.963249,18.915613
0,mae,7,0.15,18.09893,14.910633
0,mse,7,0.05,7.335584,32.166397
0,mse,7,0.075,13.234375,23.81188
0,mse,7,0.1,15.714228,20.573227
0,mse,7,0.15,21.42923,13.430494
0,mae,8,0.05,10.434572,22.97883
0,mae,8,0.075,13.681967,18.905661
0,mae,8,0.1,15.188943,17.553911
0,mae,8,0.15,17.317986,14.109833
0,mse,8,0.05,7.557863,30.679554
0,mse,8,0.075,12.56893,21.060112
0,mse,8,0.1,15.321748,18.452236
0,mse,8,0.15,19.691278,12.169029
0,mae,9,0.05,11.081819,22.68782
0,mae,9,0.075,13.121313,19.400532
0,mae,9,0.1,14.427312,17.984646
0,mae,9,0.15,16.948679,13.97196
0,mse,9,0.05,8.276397,29.667332
0,mse,9,0.075,11.76982,22.541639
0,mse,9,0.1,14.093683,19.407547
0,mse,9,0.15,19.356594,12.137358
0,mae,10,0.05,11.407182,21.997965
0,mae,10,0.075,14.649081,18.608753
0,mae,10,0.1,15.821129,17.415125
0,mae,10,0.15,16.759398,14.209501
0,mse,10,0.05,8.7096,27.651028
0,mse,10,0.075,14.663225,20.297607
0,mse,10,0.1,16.967482,18.192911
0,mse,10,0.15,18.946815,12.411795
0,mae,11,0.05,11.436422,22.259651
0,mae,11,0.075,14.893674,18.259747
0,mae,11,0.1,16.399267,16.579353
0,mae,11,0.15,17.528198,14.876735
0,mse,11,0.05,8.696679,28.320301
0,mse,11,0.075,14.575623,20.107929
0,mse,11,0.1,18.010252,16.64595
0,mse,11,0.15,20.857811,13.587527
0,mae,12,0.05,11.729087,22.682457
0,mae,12,0.075,15.628624,19.124477
0,mae,12,0.1,16.231869,16.806187
0,mae,12,0.15,17.580534,14.505117
0,mse,12,0.05,9.041704,29.116644
0,mse,12,0.075,16.051172,21.667381
0,mse,12,0.1,17.534201,17.092583
0,mse,12,0.15,21.390358,12.805185
0,mae,13,0.05,12.417534,22.83906
0,mae,13,0.075,15.295752,19.16069
0,mae,13,0.1,16.0914,17.77161
0,mae,13,0.15,17.662247,14.132092
