batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.630408,26.348862
0,mae,0,0.075,2.984175,25.492176
0,mae,0,0.1,3.449395,25.202255
0,mae,0,0.15,6.473561,24.434052
0,mse,0,0.05,0.192398,38.788292
0,mse,0,0.075,0.700668,36.542603
0,mse,0,0.1,0.906536,35.915756
0,mse,0,0.15,3.324477,34.063053
0,mae,1,0.05,2.119119,26.356386
0,mae,1,0.075,3.763037,25.387072
0,mae,1,0.1,4.44553,25.002319
0,mae,1,0.15,7.072304,24.179485
0,mse,1,0.05,0.446199,38.929916
0,mse,1,0.075,1.279263,36.431221
0,mse,1,0.1,1.692955,35.510826
0,mse,1,0.15,4.283756,33.519104
0,mae,2,0.05,1.929901,26.246271
0,mae,2,0.075,3.799687,25.421223
0,mae,2,0.1,4.668355,24.981831
0,mae,2,0.15,6.168798,23.972736
0,mse,2,0.05,0.35831,38.687584
0,mse,2,0.075,1.330155,36.602264
0,mse,2,0.1,2.084913,35.546612
0,mse,2,0.15,3.436636,33.131493
0,mae,3,0.05,2.80503,26.325613
0,mae,3,0.075,3.814711,25.762547
0,mae,3,0.1,4.620057,25.493187
0,mae,3,0.15,6.61242,24.59984
0,mse,3,0.05,0.959479,38.709984
0,mse,3,0.075,1.576383,37.488586
0,mse,3,0.1,2.261263,37.014526
0,mse,3,0.15,4.208458,35.113422
0,mae,4,0.05,2.473917,26.301723
0,mae,4,0.075,3.349353,25.427975
0,mae,4,0.1,4.370811,25.21579
0,mae,4,0.15,6.204326,24.405725
0,mse,4,0.05,0.823774,38.79071
0,mse,4,0.075,1.142181,36.979076
0,mse,4,0.1,1.842095,36.669422
0,mse,4,0.15,3.333617,34.992241
0,mae,5,0.05,2.470632,26.746149
0,mae,5,0.075,4.050148,25.981941
0,mae,5,0.1,4.961167,25.571846
0,mae,5,0.15,6.395342,24.638144
0,mse,5,0.05,0.755542,40.034477
0,mse,5,0.075,1.787034,38.295933
0,mse,5,0.1,2.368063,37.486462
0,mse,5,0.15,3.579166,35.430649
0,mae,6,0.05,2.262385,26.319881
0,mae,6,0.075,3.490641,25.862726
0,mae,6,0.1,4.620872,25.499317
0,mae,6,0.15,6.346168,24.785793
0,mse,6,0.05,0.562208,38.972424
0,mse,6,0.075,1.2379,37.947674
0,mse,6,0.1,1.975906,36.974258
0,mse,6,0.15,3.544439,35.570152
0,mae,7,0.05,2.58807,26.19099
0,mae,7,0.075,3.813275,25.723053
0,mae,7,0.1,4.734785,25.492447
0,mae,7,0.15,6.571548,24.78886
0,mse,7,0.05,0.878562,38.365936
0,mse,7,0.075,1.587342,37.427921
0,mse,7,0.1,2.138736,36.892502
0,mse,7,0.15,3.529246,35.535873
0,mae,8,0.05,1.57816,26.317356
0,mae,8,0.075,2.967128,25.551735
0,mae,8,0.1,3.595836,25.270163
0,mae,8,0.15,6.051305,24.484409
0,mse,8,0.05,0.211961,38.988102
0,mse,8,0.075,0.747517,37.105785
0,mse,8,0.1,1.012175,36.489906
0,mse,8,0.15,2.905994,34.704784
0,mae,9,0.05,2.162483,26.381111
0,mae,9,0.075,3.393892,25.687616
0,mae,9,0.1,4.026415,25.343683
0,mae,9,0.15,6.068502,24.436829
0,mse,9,0.05,0.451655,39.224831
0,mse,9,0.075,1.048129,37.458977
0,mse,9,0.1,1.367131,36.707386
0,mse,9,0.15,3.236393,34.545681
0,mae,10,0.05,1.622632,26.255993
0,mae,10,0.075,3.68154,25.512081
0,mae,10,0.1,4.355563,25.03196
0,mae,10,0.15,5.818795,23.927189
0,mse,10,0.05,0.24101,38.857258
0,mse,10,0.075,1.379143,36.864552
0,mse,10,0.1,1.881055,35.883282
0,mse,10,0.15,3.222209,33.354767
0,mae,11,0.05,2.592493,26.399754
0,mae,11,0.075,3.561042,25.646954
0,mae,11,0.1,4.396894,25.433187
0,mae,11,0.15,5.882212,24.530741
0,mse,11,0.05,0.726559,38.926228
0,mse,11,0.075,1.160596,37.162315
0,mse,11,0.1,1.824366,36.677132
0,mse,11,0.15,3.252353,34.669434
0,mae,12,0.05,2.163768,26.189198
0,mae,12,0.075,3.03285,25.197649
0,mae,12,0.1,4.066805,24.876167
0,mae,12,0.15,5.940516,24.208693
0,mse,12,0.05,0.557813,38.522709
0,mse,12,0.075,0.869278,36.179127
0,mse,12,0.1,1.529266,35.457275
0,mse,12,0.15,3.094804,34.022663
0,mae,13,0.05,2.313477,26.50876
0,mae,13,0.075,3.658346,25.778746
0,mae,13,0.1,4.518736,25.368191
0,mae,13,0.15,6.616536,24.353951
0,mse,13,0.05,0.593659,39.397774
0,mse,13,0.075,1.357164,37.356613
0,mse,13,0.1,1.924641,36.541409
0,mse,13,0.15,3.649382,34.442062
0,mae,14,0.05,2.443458,26.346737
0,mae,14,0.075,3.714211,25.673674
0,mae,14,0.1,4.80409,25.383118
0,mae,14,0.15,6.821072,24.726082
0,mse,14,0.05,0.638224,38.759575
0,mse,14,0.075,1.315602,37.091816
0,mse,14,0.1,2.118724,36.442291
0,mse,14,0.15,3.968536,35.138882
0,mae,15,0.05,2.710222,26.422039
0,mae,15,0.075,3.923795,25.96336
0,mae,15,0.1,4.864677,25.661968
0,mae,15,0.15,6.642348,24.744125
0,mse,15,0.05,0.920586,39.261097
0,mse,15,0.075,1.468344,38.249245
0,mse,15,0.1,2.127707,37.678902
0,mse,15,0.15,3.480364,35.80793
0,mae,16,0.05,1.747118,26.471243
0,mae,16,0.075,3.034606,25.97892
0,mae,16,0.1,3.508722,25.763512
0,mae,16,0.15,5.91448,24.971649
0,mse,16,0.05,0.243264,39.321281
0,mse,16,0.075,0.782615,38.267693
0,mse,16,0.1,1.00174,37.73777
0,mse,16,0.15,2.808483,35.784676
0,mae,17,0.05,2.384679,26.485373
0,mae,17,0.075,3.70307,25.884134
0,mae,17,0.1,4.326396,25.652046
0,mae,17,0.15,6.461799,24.897476
0,mse,17,0.05,0.541603,39.365074
