batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.067565,22.920162
0,mae,0,0.075,1.804841,22.376352
0,mae,0,0.1,2.208371,22.075748
0,mae,0,0.15,3.683257,21.42935
0,mse,0,0.05,0.088043,29.839506
0,mse,0,0.075,0.24523,28.499065
0,mse,0,0.1,0.416438,27.867212
0,mse,0,0.15,1.128301,26.421667
0,mae,1,0.05,0.931718,22.986137
0,mae,1,0.075,1.706997,22.400078
0,mae,1,0.1,2.167936,22.115536
0,mae,1,0.15,3.844757,21.467693
0,mse,1,0.05,0.061374,29.953953
0,mse,1,0.075,0.20799,28.5264
0,mse,1,0.1,0.386372,27.858025
0,mse,1,0.15,1.154608,26.457516
0,mae,2,0.05,0.967748,23.142357
0,mae,2,0.075,1.717408,22.524818
0,mae,2,0.1,2.189343,22.257198
0,mae,2,0.15,4.208711,21.560865
0,mse,2,0.05,0.064407,30.324085
0,mse,2,0.075,0.214099,28.813288
0,mse,2,0.1,0.378316,28.202211
0,mse,2,0.15,1.209227,26.688932
0,mae,3,0.05,0.840483,23.113531
0,mae,3,0.075,1.991745,22.723839
0,mae,3,0.1,2.401688,22.457787
0,mae,3,0.15,4.418474,21.234238
0,mse,3,0.05,0.048996,30.134466
0,mse,3,0.075,0.292717,29.19486
0,mse,3,0.1,0.430505,28.589314
0,mse,3,0.15,1.447379,25.595928
0,mae,4,0.05,1.035722,23.157541
0,mae,4,0.075,1.914099,22.585684
0,mae,4,0.1,2.642603,22.335079
0,mae,4,0.15,4.589421,21.669657
0,mse,4,0.05,0.076895,30.391788
0,mse,4,0.075,0.263125,28.992447
0,mse,4,0.1,0.534123,28.486378
0,mse,4,0.15,1.53655,27.101074
0,mae,5,0.05,1.168163,23.145803
0,mae,5,0.075,2.238554,22.62118
0,mae,5,0.1,2.729192,22.342205
0,mae,5,0.15,4.316933,21.510826
0,mse,5,0.05,0.101291,30.367258
0,mse,5,0.075,0.402864,29.076159
0,mse,5,0.1,0.60399,28.456553
0,mse,5,0.15,1.418508,26.548731
0,mae,6,0.05,1.620648,23.270378
0,mae,6,0.075,2.166562,22.833279
0,mae,6,0.1,2.524816,22.549936
0,mae,6,0.15,3.404984,21.571381
0,mse,6,0.05,0.49879,30.606609
0,mse,6,0.075,0.63161,29.637197
0,mse,6,0.1,0.729312,29.020018
0,mse,6,0.15,1.065997,26.699722
0,mae,7,0.05,1.48883,23.150436
0,mae,7,0.075,2.187119,22.615173
0,mae,7,0.1,2.51615,22.371946
0,mae,7,0.15,3.565635,21.59832
0,mse,7,0.05,0.260757,30.383251
0,mse,7,0.075,0.48085,29.176199
0,mse,7,0.1,0.553197,28.683914
0,mse,7,0.15,0.974766,26.906715
0,mae,8,0.05,1.104584,23.0509
0,mae,8,0.075,1.841422,22.536518
0,mae,8,0.1,2.452028,22.196396
0,mae,8,0.15,3.925229,21.578756
0,mse,8,0.05,0.097521,29.957392
0,mse,8,0.075,0.263012,28.777885
0,mse,8,0.1,0.520344,27.980127
0,mse,8,0.15,1.250799,26.590008
0,mae,9,0.05,1.063234,23.103251
0,mae,9,0.075,1.970253,22.486139
0,mae,9,0.1,2.597288,22.2458
0,mae,9,0.15,4.187513,21.638582
0,mse,9,0.05,0.081328,30.241009
