batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.353466,24.548813
0,mae,0,0.075,4.178603,23.343914
0,mae,0,0.1,4.48158,22.471569
0,mae,0,0.15,7.183521,20.695221
0,mse,0,0.05,0.442773,34.674767
0,mse,0,0.075,1.407033,31.66349
0,mse,0,0.1,1.631802,29.574682
0,mse,0,0.15,5.332372,25.625294
0,mae,1,0.05,2.760244,23.931835
0,mae,1,0.075,3.67784,22.494095
0,mae,1,0.1,3.95324,21.731247
0,mae,1,0.15,6.091644,20.164883
0,mse,1,0.05,0.829458,33.522545
0,mse,1,0.075,1.20576,30.216717
0,mse,1,0.1,1.335452,28.524069
0,mse,1,0.15,3.004403,25.336346
0,mae,2,0.05,2.523302,25.090223
0,mae,2,0.075,3.606574,23.874224
0,mae,2,0.1,4.273672,23.386805
0,mae,2,0.15,6.953095,22.009926
0,mse,2,0.05,0.555917,35.738106
0,mse,2,0.075,1.082576,32.905754
0,mse,2,0.1,1.511438,31.719759
0,mse,2,0.15,4.941944,28.568632
0,mae,3,0.05,2.463803,24.877419
0,mae,3,0.075,4.159214,23.603451
0,mae,3,0.1,4.581495,23.387573
0,mae,3,0.15,6.454741,22.111053
0,mse,3,0.05,0.713273,35.238548
0,mse,3,0.075,1.466368,32.349415
0,mse,3,0.1,1.679641,31.915426
0,mse,3,0.15,3.071088,29.223335
0,mae,4,0.05,3.353413,23.98609
0,mae,4,0.075,5.026264,22.960363
0,mae,4,0.1,5.098492,22.15638
0,mae,4,0.15,7.564642,20.676302
0,mse,4,0.05,0.982427,33.65255
0,mse,4,0.075,2.072472,31.299284
0,mse,4,0.1,2.1828,29.413811
0,mse,4,0.15,5.616186,26.063431
0,mae,5,0.05,2.192052,24.905239
0,mae,5,0.075,3.549253,23.817976
0,mae,5,0.1,4.243061,22.858154
0,mae,5,0.15,6.228715,20.918568
0,mse,5,0.05,0.410427,35.91346
0,mse,5,0.075,1.064425,33.23278
0,mse,5,0.1,1.459093,31.130634
0,mse,5,0.15,2.806565,26.799368
0,mae,6,0.05,1.869277,24.366982
0,mae,6,0.075,3.121667,23.376535
0,mae,6,0.1,3.59058,22.823978
0,mae,6,0.15,6.697309,21.043242
0,mse,6,0.05,0.388629,34.830254
0,mse,6,0.075,0.898831,32.519978
0,mse,6,0.1,1.148776,31.273346
0,mse,6,0.15,5.181026,27.490396
0,mae,7,0.05,2.183648,24.381248
0,mae,7,0.075,3.316768,23.192898
0,mae,7,0.1,3.574387,22.451368
0,mae,7,0.15,5.860302,20.74062
0,mse,7,0.05,0.421999,34.631996
0,mse,7,0.075,0.880869,31.848156
0,mse,7,0.1,1.024399,30.134893
0,mse,7,0.15,3.540665,26.539257
0,mae,8,0.05,2.706342,24.481327
0,mae,8,0.075,3.932447,23.333267
0,mae,8,0.1,4.288906,22.436752
0,mae,8,0.15,6.248844,20.801065
0,mse,8,0.05,0.710551,34.963299
0,mse,8,0.075,1.163732,32.282703
0,mse,8,0.1,1.442801,30.255974
0,mse,8,0.15,3.928216,26.789444
0,mae,9,0.05,2.184602,24.346439
0,mae,9,0.075,3.143738,22.719074
0,mae,9,0.1,3.510928,21.746033
0,mae,9,0.15,5.79607,20.149557
0,mse,9,0.05,0.469765,34.806797
0,mse,9,0.075,0.864747,31.088886
0,mse,9,0.1,1.068136,29.195244
0,mse,9,0.15,2.655002,25.883884
0,mae,10,0.05,2.814927,24.912598
0,mae,10,0.075,3.77531,23.335941
0,mae,10,0.1,4.368722,22.702637
0,mae,10,0.15,6.375831,21.270477
0,mse,10,0.05,0.725559,35.664787
0,mse,10,0.075,1.108042,32.163609
0,mse,10,0.1,1.544212,30.719383
0,mse,10,0.15,4.081052,27.59869
0,mae,11,0.05,2.289311,24.942284
0,mae,11,0.075,3.855788,23.3353
0,mae,11,0.1,4.521052,22.959301
0,mae,11,0.15,5.887933,21.878117
0,mse,11,0.05,0.546795,35.6898
0,mse,11,0.075,1.169948,32.197556
0,mse,11,0.1,1.69077,31.48465
0,mse,11,0.15,2.587025,29.086725
0,mae,12,0.05,3.210897,24.159958
0,mae,12,0.075,4.591014,22.984673
0,mae,12,0.1,4.818168,22.293465
0,mae,12,0.15,6.790455,20.813648
0,mse,12,0.05,0.857888,34.022774
0,mse,12,0.075,1.681741,31.533596
0,mse,12,0.1,1.858139,30.082506
0,mse,12,0.15,4.08877,26.900291
0,mae,13,0.05,2.485483,25.267944
0,mae,13,0.075,3.665267,23.641495
0,mae,13,0.1,4.273558,22.660622
0,mae,13,0.15,6.260428,21.064247
0,mse,13,0.05,0.677672,36.59763
0,mse,13,0.075,1.111548,32.911766
0,mse,13,0.1,1.40996,30.872347
0,mse,13,0.15,2.812634,27.887707
0,mae,14,0.05,1.679738,24.683996
0,mae,14,0.075,3.137943,23.476727
0,mae,14,0.1,3.866891,22.859009
0,mae,14,0.15,7.096949,21.216438
0,mse,14,0.05,0.327838,35.597992
0,mse,14,0.075,0.837186,32.709877
0,mse,14,0.1,1.216005,31.425621
0,mse,14,0.15,4.758773,27.87624
0,mae,15,0.05,1.908563,24.355698
0,mae,15,0.075,3.217486,23.253605
0,mae,15,0.1,3.401139,22.516703
0,mae,15,0.15,6.539156,20.678249
0,mse,15,0.05,0.329139,34.823963
0,mse,15,0.075,0.780263,32.377029
0,mse,15,0.1,0.881704,30.537647
0,mse,15,0.15,5.275727,26.538658
0,mae,16,0.05,2.885387,24.362684
0,mae,16,0.075,3.953392,23.248079
0,mae,16,0.1,4.200027,22.452969
0,mae,16,0.15,7.046275,20.977501
0,mse,16,0.05,0.785691,34.452862
0,mse,16,0.075,1.310302,32.029682
0,mse,16,0.1,1.476864,30.181982
0,mse,16,0.15,5.709947,27.187016
0,mae,17,0.05,2.386944,24.533031
0,mae,17,0.075,3.042733,23.149269
0,mae,17,0.1,3.345057,22.404091
0,mae,17,0.15,5.279618,21.280102
0,mse,17,0.05,0.575369,35.037868
0,mse,17,0.075,0.814573,32.001282
0,mse,17,0.1,0.922215,30.593513
0,mse,17,0.15,2.141377,28.122013
0,mae,18,0.05,2.063934,24.572403
0,mae,18,0.075,3.203295,23.57897
0,mae,18,0.1,3.560171,23.01532
0,mae,18,0.15,6.885048,21.798584
0,mse,18,0.05,0.422876,35.252701
0,mse,18,0.075,0.907698,32.829765
0,mse,18,0.1,1.191684,31.645039
0,mse,18,0.15,5.507344,28.49279
0,mae,19,0.05,2.145879,25.092051
0,mae,19,0.075,3.571453,24.089077
0,mae,19,0.1,3.872299,23.701561
0,mae,19,0.15,5.267747,22.610723
0,mse,19,0.05,0.459305,36.232376
0,mse,19,0.075,1.090483,33.719238
0,mse,19,0.1,1.354311,32.907166
0,mse,19,0.15,2.249729,30.39558
0,mae,20,0.05,2.625496,24.51618
0,mae,20,0.075,4.566604,23.416275
0,mae,20,0.1,4.790754,22.505865
0,mae,20,0.15,7.748773,20.464233
0,mse,20,0.05,0.622588,34.710251
0,mse,20,0.075,1.60975,32.164433
0,mse,20,0.1,1.768412,30.187748
0,mse,20,0.15,5.945688,25.071436
0,mae,21,0.05,2.687135,24.815098
0,mae,21,0.075,3.632164,23.480785
0,mae,21,0.1,4.123044,22.756165
0,mae,21,0.15,6.357527,20.628853
0,mse,21,0.05,0.647503,35.625355
0,mse,21,0.075,1.127084,32.421631
0,mse,21,0.1,1.380364,30.698412
0,mse,21,0.15,3.003862,26.227816
0,mae,22,0.05,2.146475,24.557848
0,mae,22,0.075,3.554572,23.467014
0,mae,22,0.1,3.99178,22.932083
0,mae,22,0.15,7.948308,20.741816
0,mse,22,0.05,0.503105,34.820236
0,mse,22,0.075,0.944873,32.12701
0,mse,22,0.1,1.209221,30.886814
0,mse,22,0.15,6.854869,25.708523
0,mae,23,0.05,2.476897,24.491753
0,mae,23,0.075,3.827409,23.38422
0,mae,23,0.1,4.120159,22.353197
0,mae,23,0.15,7.212939,20.51989
0,mse,23,0.05,0.551887,34.56366
0,mse,23,0.075,1.139471,32.264679
0,mse,23,0.1,1.309447,29.848824
0,mse,23,0.15,5.335939,25.876141
1,mae,0,0.05,3.297641,28.035818
1,mae,0,0.075,5.531175,26.949827
1,mae,0,0.1,7.422528,26.362621
1,mae,0,0.15,9.767355,24.594849
1,mse,0,0.05,1.094286,69.145058
1,mse,0,0.075,2.622968,66.795914
1,mse,0,0.1,4.770826,65.326706
1,mse,0,0.15,7.337479,60.718018
1,mae,1,0.05,4.416257,28.128361
1,mae,1,0.075,6.741237,26.319942
1,mae,1,0.1,7.611645,25.293125
1,mae,1,0.15,8.913862,23.512161
1,mse,1,0.05,2.199094,66.723183
1,mse,1,0.075,4.050649,62.028687
1,mse,1,0.1,4.875208,60.114788
1,mse,1,0.15,6.654843,55.330612
1,mae,2,0.05,3.88801,28.645309
1,mae,2,0.075,6.064245,26.536129
1,mae,2,0.1,7.414753,25.93092
1,mae,2,0.15,8.74225,23.785788
1,mse,2,0.05,1.374017,69.659592
1,mse,2,0.075,3.22089,64.109634
1,mse,2,0.1,4.495039,63.303894
1,mse,2,0.15,5.935625,57.867378
1,mae,3,0.05,4.078425,27.788982
1,mae,3,0.075,6.049353,26.333549
1,mae,3,0.1,6.492717,25.973219
1,mae,3,0.15,9.103159,24.434273
1,mse,3,0.05,1.359079,66.343941
1,mse,3,0.075,2.859962,63.090111
1,mse,3,0.1,3.167224,62.447525
1,mse,3,0.15,6.303803,58.789085
1,mae,4,0.05,2.875869,28.102833
1,mae,4,0.075,5.247338,26.737003
1,mae,4,0.1,5.941941,26.215502
1,mae,4,0.15,9.208231,24.464134
1,mse,4,0.05,0.890116,68.560982
1,mse,4,0.075,2.440103,65.257584
1,mse,4,0.1,2.980816,64.171982
1,mse,4,0.15,6.234092,59.260288
1,mae,5,0.05,3.826376,28.628078
1,mae,5,0.075,5.275272,27.076347
1,mae,5,0.1,6.311007,26.202286
1,mae,5,0.15,8.53616,25.144798
1,mse,5,0.05,1.654205,67.912674
1,mse,5,0.075,2.605447,64.889702
1,mse,5,0.1,3.42397,62.492878
1,mse,5,0.15,5.740651,60.470268
1,mae,6,0.05,3.363771,27.976795
1,mae,6,0.075,4.327879,26.734097
1,mae,6,0.1,5.461074,26.177893
1,mae,6,0.15,8.407854,24.308764
1,mse,6,0.05,1.063408,67.326241
1,mse,6,0.075,1.845662,63.807022
1,mse,6,0.1,2.835819,62.625969
1,mse,6,0.15,5.714192,57.946838
1,mae,7,0.05,3.180463,28.689438
1,mae,7,0.075,4.792033,27.096867
1,mae,7,0.1,6.063377,26.35619
1,mae,7,0.15,8.137815,24.673466
1,mse,7,0.05,1.011923,68.18396
1,mse,7,0.075,2.042601,64.854752
1,mse,7,0.1,3.256724,63.007431
1,mse,7,0.15,5.373272,57.796562
1,mae,8,0.05,2.990388,28.360588
1,mae,8,0.075,5.508435,27.349466
1,mae,8,0.1,7.263623,26.760181
1,mae,8,0.15,9.15642,25.644375
1,mse,8,0.05,0.895803,67.596878
1,mse,8,0.075,2.701048,65.22187
1,mse,8,0.1,4.525217,63.449394
1,mse,8,0.15,6.726516,61.761795
1,mae,9,0.05,3.347094,29.422421
1,mae,9,0.075,6.080924,27.459904
1,mae,9,0.1,6.592746,26.456728
1,mae,9,0.15,8.205171,24.801817
1,mse,9,0.05,1.113837,71.962173
1,mse,9,0.075,2.979803,67.312836
1,mse,9,0.1,3.527192,64.455376
1,mse,9,0.15,5.133306,60.774017
1,mae,10,0.05,3.823636,28.359455
1,mae,10,0.075,5.541644,26.962965
1,mae,10,0.1,6.221069,26.170357
1,mae,10,0.15,8.16156,24.621197
1,mse,10,0.05,1.377613,69.338715
1,mse,10,0.075,2.914131,66.193527
1,mse,10,0.1,3.577565,64.095337
1,mse,10,0.15,5.308462,60.796478
1,mae,11,0.05,3.916333,28.452375
1,mae,11,0.075,6.260493,27.207672
1,mae,11,0.1,6.659725,26.248667
1,mae,11,0.15,9.354359,25.161779
1,mse,11,0.05,1.432024,67.675682
1,mse,11,0.075,3.368396,65.116013
1,mse,11,0.1,3.620762,62.835968
1,mse,11,0.15,6.777856,60.077553
1,mae,12,0.05,2.662024,28.258774
1,mae,12,0.075,4.117537,27.046146
1,mae,12,0.1,5.000663,26.369722
1,mae,12,0.15,7.940841,25.021156
1,mse,12,0.05,0.764736,67.386093
1,mse,12,0.075,1.706343,64.604088
1,mse,12,0.1,2.223891,62.796246
1,mse,12,0.15,4.990317,59.657623
1,mae,13,0.05,2.999917,29.091579
1,mae,13,0.075,4.238492,27.679197
1,mae,13,0.1,5.14861,26.49441
1,mae,13,0.15,7.442849,25.215424
1,mse,13,0.05,0.866743,69.013901
1,mse,13,0.075,1.796445,65.610146
1,mse,13,0.1,2.393478,63.086243
1,mse,13,0.15,4.649628,60.189587
1,mae,14,0.05,2.763713,28.405594
1,mae,14,0.075,3.636765,27.159666
1,mae,14,0.1,4.132071,26.528343
1,mae,14,0.15,6.878284,25.331461
1,mse,14,0.05,0.668007,67.920837
1,mse,14,0.075,1.153526,64.815094
1,mse,14,0.1,1.437507,63.286125
1,mse,14,0.15,3.938881,60.079956
1,mae,15,0.05,2.853362,28.596598
1,mae,15,0.075,5.122639,26.852882
1,mae,15,0.1,5.856897,26.178482
1,mae,15,0.15,8.329369,24.822163
1,mse,15,0.05,0.984569,67.927658
1,mse,15,0.075,2.621478,63.985138
1,mse,15,0.1,3.077809,63.110325
1,mse,15,0.15,5.997485,59.405838
1,mae,16,0.05,2.402008,29.418373
1,mae,16,0.075,4.743604,27.633116
1,mae,16,0.1,6.189402,27.011177
1,mae,16,0.15,8.872681,25.650791
1,mse,16,0.05,0.508933,70.643074
1,mse,16,0.075,1.882917,67.193886
1,mse,16,0.1,3.124918,64.441025
1,mse,16,0.15,6.18537,60.05109
1,mae,17,0.05,2.999128,28.804684
1,mae,17,0.075,5.103496,26.835457
1,mae,17,0.1,6.101694,25.96347
1,mae,17,0.15,7.949588,24.374348
1,mse,17,0.05,0.747079,69.409958
1,mse,17,0.075,2.439687,64.168777
1,mse,17,0.1,3.097357,60.798222
1,mse,17,0.15,4.925407,57.544647
1,mae,18,0.05,3.480791,28.199551
1,mae,18,0.075,5.50209,25.889755
1,mae,18,0.1,6.499725,25.324398
1,mae,18,0.15,8.366261,23.656841
1,mse,18,0.05,1.071152,66.727608
1,mse,18,0.075,2.662521,61.498371
1,mse,18,0.1,3.671486,59.848545
1,mse,18,0.15,5.645927,56.274452
1,mae,19,0.05,4.12499,28.350845
1,mae,19,0.075,5.70548,26.996056
1,mae,19,0.1,6.51739,25.95853
1,mae,19,0.15,8.918112,24.543053
1,mse,19,0.05,1.607522,67.560158
1,mse,19,0.075,2.597488,64.667137
1,mse,19,0.1,3.22573,61.440094
1,mse,19,0.15,6.026675,56.107639
1,mae,20,0.05,3.287125,28.78129
1,mae,20,0.075,4.464477,27.144131
1,mae,20,0.1,5.147711,26.317169
1,mae,20,0.15,8.04748,24.829248
1,mse,20,0.05,1.016737,69.134079
1,mse,20,0.075,1.687768,65.538383
1,mse,20,0.1,2.129882,63.4179
1,mse,20,0.15,5.047878,57.85952
1,mae,21,0.05,2.988056,28.949137
1,mae,21,0.075,4.528529,27.475248
1,mae,21,0.1,5.474094,26.497219
1,mae,21,0.15,7.915423,24.651873
1,mse,21,0.05,0.750466,69.371887
1,mse,21,0.075,1.869267,66.527603
1,mse,21,0.1,2.502265,64.358475
1,mse,21,0.15,4.604898,58.465797
1,mae,22,0.05,2.671258,28.395264
1,mae,22,0.075,3.482605,26.772469
1,mae,22,0.1,4.049954,25.901342
1,mae,22,0.15,7.434276,24.205534
1,mse,22,0.05,0.662422,68.159058
1,mse,22,0.075,1.038058,64.409149
1,mse,22,0.1,1.305705,62.131546
1,mse,22,0.15,4.389529,58.455269
1,mae,23,0.05,4.339132,28.658918
1,mae,23,0.075,6.238684,26.847914
1,mae,23,0.1,7.446241,26.003765
1,mae,23,0.15,9.409065,24.291634
1,mse,23,0.05,2.200944,69.658562
1,mse,23,0.075,3.714703,65.769157
1,mse,23,0.1,4.712638,63.889652
1,mse,23,0.15,7.107913,59.265266
2,mae,0,0.05,2.558795,21.341377
2,mae,0,0.075,3.810475,20.114725
2,mae,0,0.1,4.127204,19.547604
2,mae,0,0.15,8.12788,17.689859
2,mse,0,0.05,0.545025,27.830471
2,mse,0,0.075,1.230306,25.411856
2,mse,0,0.1,1.356958,24.596733
2,mse,0,0.15,5.545271,20.482826
2,mae,1,0.05,2.344045,21.143887
2,mae,1,0.075,3.556746,20.401749
2,mae,1,0.1,3.86138,19.607862
2,mae,1,0.15,9.889687,17.630203
2,mse,1,0.05,0.623576,27.400967
2,mse,1,0.075,1.129041,26.002277
2,mse,1,0.1,1.255924,23.833565
2,mse,1,0.15,8.011229,20.525009
2,mae,2,0.05,1.918181,21.112677
2,mae,2,0.075,3.300511,19.972668
2,mae,2,0.1,4.072952,19.507681
2,mae,2,0.15,5.787648,18.413818
2,mse,2,0.05,0.329741,27.878002
2,mse,2,0.075,0.912416,25.342884
2,mse,2,0.1,1.536704,24.289513
2,mse,2,0.15,2.57656,22.10096
2,mae,3,0.05,1.71566,21.54895
2,mae,3,0.075,2.936194,20.116051
2,mae,3,0.1,3.68894,19.488586
2,mae,3,0.15,5.369682,18.904995
2,mse,3,0.05,0.264869,28.325985
2,mse,3,0.075,0.713683,25.573677
2,mse,3,0.1,1.122472,24.205004
2,mse,3,0.15,2.122627,22.914562
2,mae,4,0.05,2.064032,21.363121
2,mae,4,0.075,3.463485,20.535561
2,mae,4,0.1,4.267344,19.971527
2,mae,4,0.15,6.044827,18.814545
2,mse,4,0.05,0.360194,27.379007
2,mse,4,0.075,0.973425,25.623413
2,mse,4,0.1,1.470712,24.575031
2,mse,4,0.15,2.580215,22.330772
