batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.803032,30.268843
0,mae,0,0.075,2.424391,29.03038
0,mae,0,0.1,2.723374,27.897896
0,mae,0,0.15,3.896908,26.175856
0,mse,0,0.05,0.237855,49.581577
0,mse,0,0.075,0.444702,46.017101
0,mse,0,0.1,0.543307,42.7658
0,mse,0,0.15,1.156969,38.127632
0,mae,1,0.05,1.93839,30.2549
0,mae,1,0.075,2.648928,29.182449
0,mae,1,0.1,2.892184,28.316246
0,mae,1,0.15,3.862579,26.881603
0,mse,1,0.05,0.291477,49.758194
0,mse,1,0.075,0.535136,46.362724
0,mse,1,0.1,0.626946,43.861477
0,mse,1,0.15,1.042597,40.211323
0,mae,2,0.05,2.032362,30.409153
0,mae,2,0.075,2.534354,28.9473
0,mae,2,0.1,3.095519,27.867222
0,mae,2,0.15,3.831242,26.017508
0,mse,2,0.05,0.320451,50.029572
0,mse,2,0.075,0.461885,45.822601
0,mse,2,0.1,0.66346,42.626648
0,mse,2,0.15,1.046284,37.84095
0,mae,3,0.05,1.966128,30.341139
0,mae,3,0.075,2.565453,28.99754
0,mae,3,0.1,3.07195,28.163322
0,mae,3,0.15,3.995019,25.913321
0,mse,3,0.05,0.298035,49.9557
0,mse,3,0.075,0.467795,45.966415
0,mse,3,0.1,0.664017,43.418346
0,mse,3,0.15,1.126851,37.613083
0,mae,4,0.05,1.94412,30.573292
0,mae,4,0.075,2.581702,29.185116
0,mae,4,0.1,2.911427,28.267324
0,mae,4,0.15,3.662828,26.643608
0,mse,4,0.05,0.297128,50.94054
0,mse,4,0.075,0.462808,46.957092
0,mse,4,0.1,0.588764,44.31559
0,mse,4,0.15,0.92339,39.915337
0,mae,5,0.05,1.955616,30.135489
0,mae,5,0.075,2.596913,29.201401
0,mae,5,0.1,3.177775,28.372173
0,mae,5,0.15,4.204739,26.577566
0,mse,5,0.05,0.315655,49.909386
0,mse,5,0.075,0.486531,47.25172
0,mse,5,0.1,0.734596,44.648239
0,mse,5,0.15,1.371651,39.608376
0,mae,6,0.05,2.140933,30.37077
0,mae,6,0.075,3.130547,29.452036
0,mae,6,0.1,3.524065,28.525997
0,mae,6,0.15,4.519032,26.221483
0,mse,6,0.05,0.363479,49.874435
0,mse,6,0.075,0.716348,47.10009
0,mse,6,0.1,0.8856,44.32515
0,mse,6,0.15,1.516339,38.330772
0,mae,7,0.05,1.901621,30.454666
0,mae,7,0.075,2.645304,29.207661
0,mae,7,0.1,3.50872,28.530182
0,mae,7,0.15,4.927472,26.516085
0,mse,7,0.05,0.286828,50.102116
0,mse,7,0.075,0.506084,46.554138
0,mse,7,0.1,0.886019,44.511139
0,mse,7,0.15,1.771475,39.165726
0,mae,8,0.05,1.963447,30.407162
0,mae,8,0.075,2.810097,29.089537
0,mae,8,0.1,3.241387,28.395731
0,mae,8,0.15,4.332926,26.578526
0,mse,8,0.05,0.289567,50.142006
0,mse,8,0.075,0.563055,46.439178
0,mse,8,0.1,0.744566,44.56776
0,mse,8,0.15,1.392426,39.848343
0,mae,9,0.05,2.025913,29.916996
0,mae,9,0.075,2.830206,29.007051
