batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.406639,27.483952
0,mae,0,0.075,3.054338,26.90535
0,mae,0,0.1,3.679674,26.165932
0,mae,0,0.15,5.047831,24.289085
0,mse,0,0.05,0.451311,43.307739
0,mse,0,0.075,0.755367,41.754478
0,mse,0,0.1,1.019196,40.0979
0,mse,0,0.15,1.876841,35.34761
0,mae,1,0.05,2.620225,28.091883
0,mae,1,0.075,3.355494,27.495934
0,mae,1,0.1,3.949907,26.885185
0,mae,1,0.15,5.103306,25.124317
0,mse,1,0.05,0.544738,45.140427
0,mse,1,0.075,0.849526,43.355659
0,mse,1,0.1,1.153885,41.713783
0,mse,1,0.15,1.890239,37.105835
0,mae,2,0.05,2.622827,28.027813
0,mae,2,0.075,3.368223,27.367487
0,mae,2,0.1,3.754343,26.814198
0,mae,2,0.15,5.197677,25.23341
0,mse,2,0.05,0.494681,44.544605
0,mse,2,0.075,0.846864,42.478764
0,mse,2,0.1,1.046394,41.374573
0,mse,2,0.15,2.026512,37.461777
0,mae,3,0.05,2.954329,28.047968
0,mae,3,0.075,3.74919,27.603062
0,mae,3,0.1,4.389494,27.120491
0,mae,3,0.15,5.762669,25.591091
0,mse,3,0.05,0.712093,44.392284
0,mse,3,0.075,1.096155,43.016525
0,mse,3,0.1,1.476498,41.893364
0,mse,3,0.15,2.409534,38.254066
0,mae,4,0.05,3.128437,28.019476
0,mae,4,0.075,3.940538,27.44488
0,mae,4,0.1,4.262794,26.760803
0,mae,4,0.15,5.750647,25.548897
0,mse,4,0.05,0.838372,44.387802
0,mse,4,0.075,1.287194,42.568485
0,mse,4,0.1,1.495798,41.117584
0,mse,4,0.15,2.564829,38.375702
0,mae,5,0.05,2.697771,27.75474
0,mae,5,0.075,3.607472,26.726311
0,mae,5,0.1,3.948292,26.084846
0,mae,5,0.15,5.365847,24.531734
0,mse,5,0.05,0.619238,43.396561
0,mse,5,0.075,1.172279,40.429604
0,mse,5,0.1,1.374321,38.781925
0,mse,5,0.15,2.23629,35.030136
0,mae,6,0.05,2.756893,27.964226
0,mae,6,0.075,3.424438,27.230593
0,mae,6,0.1,3.897959,26.53891
0,mae,6,0.15,5.315374,24.654716
0,mse,6,0.05,0.620291,44.498306
0,mse,6,0.075,0.921657,42.437138
0,mse,6,0.1,1.106662,40.604507
0,mse,6,0.15,2.100156,35.993011
0,mae,7,0.05,2.373646,27.932106
0,mae,7,0.075,2.99538,27.091801
0,mae,7,0.1,3.32897,26.700701
0,mae,7,0.15,4.730082,24.494493
0,mse,7,0.05,0.463988,43.997536
0,mse,7,0.075,0.831386,41.842934
0,mse,7,0.1,0.879333,40.92701
0,mse,7,0.15,1.690331,35.797943
0,mae,8,0.05,2.846739,27.889524
0,mae,8,0.075,3.593916,27.015774
0,mae,8,0.1,3.801635,26.287926
0,mae,8,0.15,5.489953,24.781155
0,mse,8,0.05,0.650585,43.876976
0,mse,8,0.075,1.087079,41.657745
0,mse,8,0.1,1.179937,40.137619
0,mse,8,0.15,2.267928,36.62426
0,mae,9,0.05,2.793957,28.003445
0,mae,9,0.075,3.619996,27.072662
0,mae,9,0.1,4.199297,26.598869
0,mae,9,0.15,5.807957,24.94804
0,mse,9,0.05,0.61537,44.373402
0,mse,9,0.075,1.067869,41.91045
0,mse,9,0.1,1.409041,41.002846
0,mse,9,0.15,2.499965,37.220482
0,mae,10,0.05,2.892967,28.028648
0,mae,10,0.075,3.646207,27.23241
0,mae,10,0.1,4.002411,26.66238
0,mae,10,0.15,5.816577,25.05246
0,mse,10,0.05,0.669707,44.28233
0,mse,10,0.075,1.132346,42.094475
0,mse,10,0.1,1.367488,40.884636
